INFO:root:Anomaly detected: postersyncd (PID 17241) feature=threads, value=4, score=3.605551275463989
INFO:root:Anomaly detected: ScreenTimeAgent (PID 17246) feature=rss, value=21594112, score=3.6055512754639896
INFO:root:Anomaly detected: ScreenTimeAgent (PID 17246) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: akd (PID 17249) feature=threads, value=4, score=3.6055512754639887
INFO:root:Anomaly detected: findmylocateagent (PID 17251) feature=cpu, value=0.1, score=3.605551275463989
INFO:root:Anomaly detected: findmylocateagent (PID 17251) feature=threads, value=4, score=3.605551275463989
INFO:root:Anomaly detected: mapssyncd (PID 17256) feature=threads, value=4, score=3.605551275463989
INFO:root:Anomaly detected: audioaccessoryd (PID 17257) feature=rss, value=34930688, score=3.6055512754640207
INFO:root:Anomaly detected: storekitagent (PID 17260) feature=threads, value=4, score=3.605551275463989
INFO:root:Anomaly detected: syncdefaultsd (PID 17263) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: UsageTrackingAgent (PID 17264) feature=threads, value=4, score=3.605551275463989
INFO:root:Anomaly detected: appleaccountd (PID 17266) feature=cpu, value=0.1, score=3.605551275463989
INFO:root:Anomaly detected: appleaccountd (PID 17266) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: SafariBookmarksSyncAgent (PID 17268) feature=rss, value=18415616, score=3.6055512754639474
INFO:root:Anomaly detected: SafariBookmarksSyncAgent (PID 17268) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: stickersd (PID 17269) feature=threads, value=4, score=3.6055512754639887
INFO:root:Anomaly detected: amsengagementd (PID 17270) feature=cpu, value=0.1, score=3.605551275463989
INFO:root:Anomaly detected: triald (PID 17273) feature=rss, value=19005440, score=3.6055512754639896
INFO:root:Anomaly detected: triald (PID 17273) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: mlhostd (PID 17277) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: cloudphotod (PID 17284) feature=cpu, value=0.1, score=3.605551275463989
INFO:root:Anomaly detected: cloudphotod (PID 17284) feature=rss, value=14974976, score=3.207568036167756
INFO:root:Anomaly detected: cloudphotod (PID 17284) feature=threads, value=5, score=3.605551275463989
INFO:root:Anomaly detected: keyboardservicesd (PID 17318) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: ProtectedCloudKeySyncing (PID 17322) feature=rss, value=10895360, score=3.6055512754639873
INFO:root:Anomaly detected: ProtectedCloudKeySyncing (PID 17322) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: iCloudNotificationAgent (PID 17326) feature=threads, value=3, score=3.6055512754639887
INFO:root:Anomaly detected: sociallayerd (PID 17330) feature=rss, value=10272768, score=3.059411708155671
